,annotation,Dangerous,Dirty,city,labels_dirty,labels_not_dirty
18,s_20140217_174522.jpg,1,1,gc,[],"['monuments','no_trash_on_street','non_neglected_plants','trees','lime_on_trees','well_preserved_path']"
19,s_20140304_134238.jpg,1,1,gc,[],"['no_trash_on_street','well_painted_houses','trees','lime_on_trees','well_preserved_path']"
20,s_20140506_095126.jpg,1.5,2,gc,"['tag_graffiti','worn_paint']","['non_neglected_plants','no_trash_on_street','well_painted_houses']"
21,s_20140506_101051.jpg,2,2,gc,"['tag_graffiti','street_water']","['no_trash_on_street','lime_on_trees','trees','well_painted_houses','well_preserved_path','well_preserved_sidewalk']"
22,s_20140524_104729.jpg,2.5,2.5,gc,"['street_water','tangled_electrical_wiring','worn_paint','damaged_walls']","['well_painted_houses','well_preserved_path']"
23,s_20140712_122907.jpg,2,2,sc,"['trash_on_street','beggars']","['trash_cans','trees']"
24,s_20140712_130631.jpg,1.5,2.5,sc,"['tag_graffiti','moisture_on_walls','lots_of_trash_for_one_trash_can']","['trash_cans','trees','clean_road_signs','well_preserved_sidewalk','well_preserved_path']"
25,s_20140712_130700.jpg,2,2,sc,"['tag_graffiti','trash_on_street']","['well_painted_houses','well_preserved_path','well_preserved_sidewalk']"
26,s_20140712_131816.jpg,2.5,2.5,sc,['tangled_electrical_wiring'],"['no_trash_on_street','well_painted_houses','trees','clean_road_signs','well_preserved_sidewalk','well_preserved_path']"
27,s_20140712_131843.jpg,2,2,sc,['tag_graffiti'],"['well_painted_houses','trees','lime_on_trees','no_trash_on_street','well_preserved_path']"
28,s_20140712_133552.jpg,1.5,1.5,sc,['undergrowth'],"['artistic_graffiti','no_trash_on_street','well_painted_houses']"
29,s_20140712_134127.jpg,2,2,sc,"['undergrowth','worn_paint']","['no_trash_on_street','well_painted_houses','trees','well_preserved_sidewalk','well_preserved_path']"
30,s_20140712_135157.jpg,1.5,2.5,sc,"['deteriorated_sidewalk','damaged_path' ]",['no_trash_on_street']
31,s_20140712_142332.jpg,2,2,sc,['tangled_electrical_wiring'],"['non_neglected_plants','well_painted_houses','no_trash_on_street','well_preserved_sidewalk','well_preserved_path']"
32,s_20140717_151505.jpg,1.5,2,lc,['street_water'],"['trees','no_trash_on_street','trash_cans','well_painted_houses','park_kiosk','well_preserved_path','strainer']"
33,s_20140717_151628.jpg,2.5,2,lc,['stickers_on_road_signs'],"['trees','no_trash_on_street','well_painted_houses','well_preserved_path','well_preserved_sidewalk']"
34,s_20140717_163100.jpg,2,2,lc,"['worn_paint','deteriorated_telephone_registration_boxes']","['trees','lime_on_trees','no_trash_on_street','well_painted_houses','clean_road_signs','well_preserved_sidewalk','well_preserved_path']"
35,s_20140717_170107.jpg,2.5,2.5,lc,['stickers_on_electric_meter'],"['no_trash_on_street','clean_road_signs','trees','lime_on_trees','well_painted_houses','well_preserved_sidewalk','well_preserved_path']"
36,s_20140717_171627.jpg,1,1.5,lc,['scratched_road_signs'],"['non_neglected_plants','trees','well_painted_houses','no_trash_on_street','well_preserved_sidewalk','well_preserved_path']"
37,s_20140717_172151.jpg,1,1,lc,['worn_paint'],"['well_painted_houses','trash_cans','trees','non_neglected_plants','lime_on_trees','no_trash_on_street','well_preserved_path']"
38,s_20140717_174720.jpg,2,2.5,lc,"['deteriorated_sidewalk','too_much_propaganda']","['clean_road_signs','no_trash_on_street','well_preserved_path']"
39,s_20140717_175347.jpg,2,2,lc,"['trash_on_street','worn_paint']","['trees','well_preserved_sidewalk']"
40,s_20140724_144800.jpg,2.5,2.5,lc,[],"['no_trash_on_street','trees','lime_on_trees','well_preserved_sidewalk','well_preserved_path']"
41,s_20140724_150308.jpg,2,2,lc,"['damaged_path','tangled_electrical_wiring','propaganda']","['well_painted_houses','no_trash_on_street','trees','well_preserved_sidewalk']"
42,s_20140724_151253.jpg,2.5,2,lc,"['street_water','tag_graffiti']","['trees','lime_on_trees','no_trash_on_street','clean_road_signs']"
43,s_20140724_152125.jpg,2.5,2.5,lc,"['damaged_path','tangled_electrical_wiring','graffiti']","['trees','no_trash_on_street']"
44,s_20140724_152527.jpg,2.5,2,lc,"['worn_paint','tag_graffiti','graffiti','tangled_electrical_wiring','rusty_railings']","['trees','lime_on_trees','no_trash_on_street','well_preserved_path']"
45,s_20140724_153248.jpg,2.5,2,lc,"['damaged_path','street_water']","['no_trash_on_street','trees','lime_on_trees','well_painted_houses']"
46,s_20140724_153910.jpg,2.5,2,lc,"['street_water','tag_graffiti','tangled_electrical_wiring']","['well_painted_houses','non_neglected_plants','trees','lime_on_trees','no_trash_on_street','well_preserved_path']"
47,s_20140724_154020.jpg,2,2,lc,"['trash_bags_on_street','street_water']","['trees','no_trash_on_street','well_painted_houses','well_preserved_sidewalk','well_preserved_path']"
48,s_20140724_154210.jpg,2,2,lc,[],"['trees','no_trash_on_street','well_preserved_sidewalk']"
49,s_20140726_113330.jpg,3,2.5,sc,"['propaganda','graffiti']","['clean_road_signs','no_trash_on_street','well_painted_houses','trees','non_neglected_plants','well_preserved_sidewalk','well_preserved_path']"
