,annotation,Dangerous,Dirty,city,labels_dangerous,labels_not_dangerous
30,s_20140723_110720.jpg,4.5,5.5,gc,"['debris','destroyed_houses','abandoned_place','no_artificial_lighting','small_alley','tangled_electrical_wiring','rusty_house_door']","[]"
31,s_20140724_150437.jpg,3,3,lc,"['cars_in_motion','tag_graffiti']","['artificial_lighting','cars_in_motion','traffic_lights','people_walking','bus_stop','stores']"
32,s_20140724_150556.jpg,4.5,5.5,lc,"['tag_graffiti','tangled_electrical_wiring']","['people_walking','artificial_lighting','trees']"
33,s_20140724_150839.jpg,3,4,lc,"['no_artificial_lighting']","['normal_parked_cars','trees']"
34,s_20140724_150920.jpg,3.5,4,lc,"['blocked_sidewalk','polarized_car_windows']","['trees']"
35,s_20140724_150941.jpg,4.5,5,lc,"['tangled_electrical_wiring','trash_on_street']","['artificial_lighting','normal_parked_cars','trees','people_walking']"
36,s_20140724_151124.jpg,3.5,4,lc,"['no_artificial_lighting']","['normal_parked_cars','people_walking','trees']"
37,s_20140724_151304.jpg,3,3.5,lc,"['no_artificial_lighting']","['normal_parked_cars','public_parking','trees']"
38,s_20140724_152234.jpg,4,3,lc,"['damaged_walls','damaged_windows','tag_graffiti','cars_in_motion']","['pedestrian_bridge','traffic_lights','cars_in_motion','middle_school']"
39,s_20140724_153037.jpg,3.5,3.5,lc,"['rusty_lamppost','cars_in_motion','tag_graffiti']","['people_walking','cars_in_motion','trees']"
40,s_20140724_153602.jpg,3,2.5,lc,"['rusty_lamppost','cars_in_motion','tangled_electrical_wiring']","['trees','normal_parked_cars','cars_in_motion','artificial_lighting','people_walking']"
41,s_20140724_155558.jpg,3,3,lc,"['damaged_walls','tag_graffiti','cars_in_motion','tangled_electrical_wiring']","['public_parking','cars_in_motion','people_walking','stores','artificial_lighting']"
42,s_20140724_155607.jpg,3,3.5,lc,"['tangled_electrical_wiring','cars_in_motion','graffiti']","['public_parking','people_walking','traffic_lights','stores','artificial_lighting','cars_in_motion']"
43,s_20140726_112745.jpg,3.5,4,sc,"['tangled_electrical_wiring','cars_in_motion']","['artificial_lighting','people_riding_bicycles','cars_in_motion','normal_parked_cars','trees','residential_zone','people_walking']"
44,s_20140726_113027.jpg,3.5,4,sc,"['tangled_electrical_wiring','cars_in_motion','tag_graffiti','badly_parked_motorcycles']","['people_walking','cars_in_motion','people_riding_bicycles','artificial_lighting']"
45,s_20140726_114047.jpg,3.5,3.5,sc,"['tag_graffiti','tangled_electrical_wiring']","['normal_parked_cars','artificial_lighting','people_walking','residential_zone']"
46,s_20140726_115016.jpg,3.5,4,sc,"['cart','tangled_electrical_wiring']","['stores','people_walking','artificial_lighting','normal_parked_cars','residential_zone']"
47,s_20140726_115521.jpg,4,4,sc,"['motorcyclist_without_helmet','tangled_electrical_wiring','cars_in_motion']","['commercial_zone','people_walking','artificial_lighting','people_riding_bicycles','cars_in_motion']"
48,s_20140726_115805.jpg,4.5,4,sc,"['tag_graffiti']","['commercial_corridor','people_walking','artificial_lighting']"
49,s_20140726_134905.jpg,3,4,gc,"['tag_graffiti','badly_parked_cars','tangled_electrical_wiring']","['people_walking','artificial_lighting','trees']"
